Customer_ID,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
8607375,241.03,76.39,213.64,40.74,34.71,
8611002,211.42,1162.98,112.66,71.21,90.63,
8612049,155.76,34.63,15.51,8.68,10.60,
8616195,172.05,41.37,32.04,9.87,10.69,
8620597,156.52,92.64,241.96,80.83,71.68,
8622906,108.33,144.74,121.16,5.02,5.43,7.70
8628992,498.01,1744.91,246.88,70.71,51.21,20.23
8632406,67.23,162.57,,84.69,81.36,
8637039,171.86,70.46,33.81,13.55,12.01,14.15
8646485,276.58,113.75,350.86,68.02,93.94,
8654874,229.17,1506.28,172.63,26.62,38.31,2.73
8659528,181.25,69.34,20.81,11.08,10.22,6.22
8670738,114.38,122.41,200.08,91.82,78.21,71.27
8673568,165.84,30.82,50.10,11.46,11.46,
8674660,165.50,77.45,279.78,27.76,32.59,
8683196,192.02,162.55,107.14,8.92,6.46,20.94
8684528,136.51,247.52,25.52,10.78,9.18,21.42
8687029,188.17,96.02,242.30,89.98,93.66,92.29
8689110,115.87,148.24,220.53,108.03,78.23,118.79
8690990,134.45,131.76,173.85,90.18,76.82,142.78
8704117,168.34,269.26,,3.20,2.52,
8704715,188.83,45.11,43.71,13.87,13.32,7.29
8708233,191.76,66.16,40.55,5.70,5.47,
8709762,165.03,226.51,34.25,15.87,14.07,30.20
8710930,159.84,51.65,36.50,2.12,1.80,
8716583,135.81,91.48,,69.37,66.64,89.85
8717918,317.04,127.97,,67.66,45.11,
8718701,173.97,92.67,291.30,41.59,31.37,
8720509,280.75,100.92,307.58,24.65,34.05,
8721292,189.30,55.98,,4.52,5.52,9.95
8722370,186.74,54.08,17.50,12.34,9.70,10.03
8724664,220.41,83.35,402.61,31.96,44.13,44.68
8733042,321.93,1583.86,301.97,12.42,15.80,
8735373,164.25,1273.35,311.93,46.79,33.88,
8737149,228.99,89.97,231.04,24.91,31.71,26.96
8739191,237.41,95.26,323.25,43.19,46.78,54.80
8742705,190.76,105.01,421.84,26.15,21.40,32.38
8742914,200.28,100.06,,46.45,52.39,
8743647,215.67,219.51,66.72,12.43,15.82,
8744500,185.32,114.59,,68.04,51.33,
8755690,352.76,1019.31,320.26,15.90,11.05,
8758473,326.26,126.37,397.44,38.01,39.57,50.33
8761795,169.18,65.64,,5.19,6.61,
8770721,191.32,35.16,,7.74,8.06,
8772480,172.18,96.10,,50.06,34.78,
8775390,257.12,1440.66,276.59,34.90,30.94,69.05
8777158,213.65,74.78,,106.11,119.66,
8780645,416.08,1200.62,96.23,66.72,75.24,
8785748,181.90,299.58,92.44,22.69,16.43,23.03
8787887,144.20,82.98,186.18,68.73,84.00,
8789072,154.86,155.82,215.76,81.58,84.90,
8792842,129.11,925.10,129.79,32.49,43.06,
8794847,143.41,142.79,108.88,17.72,14.50,10.05
8797319,134.95,144.54,205.52,67.79,93.61,71.45
8797491,207.52,67.81,,44.74,42.98,
8798397,324.63,1598.64,,46.39,42.83,
8799800,86.52,171.55,264.92,104.30,92.50,151.45
8805135,164.77,55.30,-12.88,3.67,3.97,
8811784,163.40,142.50,252.13,77.76,116.63,88.42
8812795,165.67,233.40,,8.14,12.20,
8817094,137.86,81.65,213.82,101.08,76.25,
8818336,92.13,113.26,139.03,91.26,77.74,
8820318,95.65,151.23,247.79,76.41,93.39,114.64
8820466,178.70,84.53,186.73,105.78,76.60,
8824322,189.44,254.85,,1.21,1.37,
8845642,212.97,72.04,312.85,24.74,30.24,44.78
8847906,184.48,142.50,267.02,78.27,108.09,
8852962,149.49,63.61,224.68,34.87,24.23,
8853843,125.38,153.58,166.44,100.33,66.88,100.52
8854133,131.69,46.06,155.94,16.90,25.35,
8869578,172.89,109.71,271.22,26.49,19.98,21.40
8869922,117.18,163.48,,57.08,85.61,
8876535,89.82,149.56,,79.97,83.24,
8878027,200.22,34.75,,,,
8879590,318.86,1025.85,220.18,24.45,36.68,0.08
8884526,189.54,242.09,,13.27,16.22,
8886775,162.23,,19.77,4.85,4.31,
8888272,112.25,78.71,197.78,103.65,81.44,
8889068,228.24,95.97,307.41,39.38,26.25,17.02
8893423,161.62,82.10,189.14,22.31,29.57,
8898211,600.79,1653.49,101.35,12.10,8.06,
8903471,162.30,71.29,15.85,0.80,0.58,
8904362,140.84,68.38,215.96,91.76,99.40,86.71
8904531,128.81,52.28,256.54,80.27,106.41,
8907308,174.22,63.42,32.07,7.49,5.21,
8908348,228.66,112.39,250.98,52.15,44.43,
8909391,193.10,90.80,251.03,38.00,57.00,
8927692,152.47,973.94,131.14,40.53,37.41,
8934266,138.65,113.52,124.36,78.80,88.86,
8936595,457.99,1152.97,101.05,7.83,6.67,12.58
8936785,145.26,156.13,190.26,87.39,106.82,
8942532,139.79,214.85,128.22,1.24,1.24,
8947595,254.77,94.34,470.91,60.81,56.13,54.73
8957851,147.74,176.83,247.22,79.05,82.28,
8960653,146.59,,,,,
8961480,157.35,99.62,247.94,42.79,33.62,41.42
8966017,103.44,66.97,177.04,73.41,73.41,
